fecha,price_close
May 13 2022,4023.89
May 12 2022,3930.08
May 11 2022,3935.18
May 10 2022,4001.05
May 09 2022,3991.24
May 06 2022,4123.34
May 05 2022,4146.87
May 04 2022,4300.17
May 03 2022,4175.48
May 02 2022,4155.38
Apr 29 2022,4131.93
Apr 28 2022,4287.50
Apr 27 2022,4183.96
Apr 26 2022,4175.20
Apr 25 2022,4296.12
Apr 22 2022,4271.78
Apr 21 2022,4393.66
Apr 20 2022,4459.45
Apr 19 2022,4462.21
Apr 18 2022,4391.69
Apr 14 2022,4392.59
Apr 13 2022,4446.59
Apr 12 2022,4397.45
Apr 11 2022,4412.53
Apr 08 2022,4488.28
Apr 07 2022,4500.21
Apr 06 2022,4481.15
Apr 05 2022,4525.12
Apr 04 2022,4582.64
Apr 01 2022,4545.86
Mar 31 2022,4530.41
Mar 30 2022,4602.45
Mar 29 2022,4631.60
Mar 28 2022,4575.52
Mar 25 2022,4543.06
Mar 24 2022,4520.16
Mar 23 2022,4456.24
Mar 22 2022,4511.61
Mar 21 2022,4461.18
Mar 18 2022,4463.12
Mar 17 2022,4411.67
Mar 16 2022,4357.86
Mar 15 2022,4262.45
Mar 14 2022,4173.11
Mar 11 2022,4204.31
Mar 10 2022,4259.52
Mar 09 2022,4277.88
Mar 08 2022,4170.70
Mar 07 2022,4201.09
Mar 04 2022,4328.87
Mar 03 2022,4363.49
Mar 02 2022,4386.54
Mar 01 2022,4306.26
Feb 28 2022,4373.94
Feb 25 2022,4384.65
Feb 24 2022,4288.70
Feb 23 2022,4225.50
Feb 22 2022,4304.76
Feb 18 2022,4348.87
Feb 17 2022,4380.26
Feb 16 2022,4475.01
Feb 15 2022,4471.07
Feb 14 2022,4401.67
Feb 11 2022,4418.64
Feb 10 2022,4504.08
Feb 09 2022,4587.18
Feb 08 2022,4521.54
Feb 07 2022,4483.87
Feb 04 2022,4500.53
Feb 03 2022,4477.44
Feb 02 2022,4589.38
Feb 01 2022,4546.54
Jan 31 2022,4515.55
Jan 28 2022,4431.85
Jan 27 2022,4326.51
Jan 26 2022,4349.93
Jan 25 2022,4356.45
Jan 24 2022,4410.13
Jan 21 2022,4397.94
Jan 20 2022,4482.73
Jan 19 2022,4532.76
Jan 18 2022,4577.11
Jan 14 2022,4662.85
Jan 13 2022,4659.03
Jan 12 2022,4726.35
Jan 11 2022,4713.07
Jan 10 2022,4670.29
